Indicator 56 Monthly fuel usage of the generator sets and boilers,,,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure,,
Aug-00,-67.60269444,62.87380556,Mawson,Fuel usage,57875,,litres,,
Aug-00,-68.57661111,77.96738889,Davis,Fuel usage,55953,,litres,,
Aug-00,-66.28180556,110.5276111,Casey,Fuel usage,54219,,litres,,
Aug-00,-54.61988889,158.861,Macquarie Island,Fuel usage,19000,,litres,,
Sep-00,-67.60269444,62.87380556,Mawson,Fuel usage,54752,,litres,,
Sep-00,-68.57661111,77.96738889,Davis,Fuel usage,52834,,litres,,
Sep-00,-66.28180556,110.5276111,Casey,Fuel usage,47712,,litres,,
Sep-00,-54.61988889,158.861,Macquarie Island,Fuel usage,16742,,litres,,
Oct-00,-67.60269444,62.87380556,Mawson,Fuel usage,55574,,litres,,
Oct-00,-68.57661111,77.96738889,Davis,Fuel usage,55165,,litres,,
Oct-00,-66.28180556,110.5276111,Casey,Fuel usage,50721,,litres,,
Oct-00,-54.61988889,158.861,Macquarie Island,Fuel usage,17038,,litres,,
Nov-00,-67.60269444,62.87380556,Mawson,Fuel usage,45786,,litres,,
Nov-00,-68.57661111,77.96738889,Davis,Fuel usage,44475,,litres,,
Nov-00,-66.28180556,110.5276111,Casey,Fuel usage,44470,,litres,,
Nov-00,-54.61988889,158.861,Macquarie Island,Fuel usage,16855,,litres,,
Dec-00,-67.60269444,62.87380556,Mawson,Fuel usage,39528,,litres,,
Dec-00,-68.57661111,77.96738889,Davis,Fuel usage,43226,,litres,,
Dec-00,-66.28180556,110.5276111,Casey,Fuel usage,43956,,litres,,
Dec-00,-54.61988889,158.861,Macquarie Island,Fuel usage,16534,,litres,,
Jan-01,-67.60269444,62.87380556,Mawson,Fuel usage,36831,,litres,,
Jan-01,-68.57661111,77.96738889,Davis,Fuel usage,43567,,litres,,
Jan-01,-66.28180556,110.5276111,Casey,Fuel usage,43911,,litres,,
Jan-01,-54.61988889,158.861,Macquarie Island,Fuel usage,16244,,litres,,
Feb-01,-67.60269444,62.87380556,Mawson,Fuel usage,39571,,litres,,
Feb-01,-68.57661111,77.96738889,Davis,Fuel usage,42737,,litres,,
Feb-01,-66.28180556,110.5276111,Casey,Fuel usage,41548,,litres,,
Feb-01,-54.61988889,158.861,Macquarie Island,Fuel usage,15259,,litres,,
Mar-01,-67.60269444,62.87380556,Mawson,Fuel usage,45127,,litres,,
Mar-01,-68.57661111,77.96738889,Davis,Fuel usage,49131,,litres,,
Mar-01,-66.28180556,110.5276111,Casey,Fuel usage,48104,,litres,,
Mar-01,-54.61988889,158.861,Macquarie Island,Fuel usage,16403,,litres,,
Apr-01,-67.60269444,62.87380556,Mawson,Fuel usage,52466,,litres,,
Apr-01,-68.57661111,77.96738889,Davis,Fuel usage,56161,,litres,,
Apr-01,-66.28180556,110.5276111,Casey,Fuel usage,49498,,litres,,
Apr-01,-54.61988889,158.861,Macquarie Island,Fuel usage,16343,,litres,,
May-01,-67.60269444,62.87380556,Mawson,Fuel usage,53685,,litres,,
May-01,-68.57661111,77.96738889,Davis,Fuel usage,58519,,litres,,
May-01,-66.28180556,110.5276111,Casey,Fuel usage,50215,,litres,,
May-01,-54.61988889,158.861,Macquarie Island,Fuel usage,17675,,litres,,
Jun-01,-67.60269444,62.87380556,Mawson,Fuel usage,53264,,litres,,
Jun-01,-68.57661111,77.96738889,Davis,Fuel usage,58213,,litres,,
Jun-01,-66.28180556,110.5276111,Casey,Fuel usage,50867,,litres,,
Jun-01,-54.61988889,158.861,Macquarie Island,Fuel usage,17826,,litres,,
Jul-01,-67.60269444,62.87380556,Mawson,Fuel usage,56715,,litres,,
Jul-01,-68.57661111,77.96738889,Davis,Fuel usage,55581,,litres,,
Jul-01,-66.28180556,110.5276111,Casey,Fuel usage,51560,,litres,,
Jul-01,-54.61988889,158.861,Macquarie Island,Fuel usage,19102,,litres,,
Aug-01,-67.60269444,62.87380556,Mawson,Fuel usage,59503,,litres,,
