date,electricity_kwh,fuel_litres,ALLSKY_SFC_SW_DWN,WS50M,WD50M,PS,T2M,RH2M,T2M_MAX,T2M_MIN,WS10M_MAX,WS10M_MIN,year,month,quarter
2000-05-01,176085.0,61298.0,0.11362258064516129,10.727096774193548,132.84193548387097,95.27354838709678,-20.18,79.02935483870968,-18.352903225806454,-22.122258064516128,12.68032258064516,4.85,2000,5,2
2000-06-01,167688.0,55861.0,0.00047,12.523,137.04666666666665,95.82766666666666,-18.438333333333333,70.98633333333333,-16.391000000000002,-20.60533333333333,13.822,6.062333333333333,2000,6,2
2000-07-01,184341.0,60676.0,0.03378064516129032,10.334193548387097,137.1258064516129,95.62838709677419,-20.57967741935484,78.34096774193549,-18.54064516129032,-22.77741935483871,11.309354838709679,4.992903225806452,2000,7,3
2000-08-01,181852.0,57875.0,0.6436064516129032,12.23,138.83548387096772,95.37645161290322,-19.90774193548387,71.02161290322582,-18.066451612903226,-22.27,12.64806451612903,6.796451612903225,2000,8,3
2000-09-01,169718.0,54752.0,2.8850399999999996,9.986666666666668,138.56333333333333,95.87033333333333,-19.084666666666667,73.08200000000001,-16.807333333333336,-21.633666666666667,10.845333333333334,5.275666666666667,2000,9,3
2000-10-01,173193.0,55574.0,5.290935483870968,9.152903225806451,147.38064516129032,95.04612903225807,-19.78290322580645,70.49258064516128,-16.410645161290322,-23.09225806451613,10.929354838709678,4.408387096774193,2000,10,4
2000-11-01,154350.0,45786.0,7.371423333333333,9.909666666666668,132.48333333333332,95.94433333333333,-8.190333333333333,69.20566666666667,-5.177666666666667,-11.639666666666667,10.799,5.086333333333333,2000,11,4
2000-12-01,141504.0,39528.0,8.003509677419355,8.774516129032257,125.06129032258065,96.41677419354839,-3.8509677419354835,71.7290322580645,-1.5912903225806452,-6.650645161290322,9.76774193548387,4.169677419354838,2000,12,4
2001-01-01,123114.0,36831.0,7.130970967741936,8.873548387096774,133.84516129032258,95.66870967741936,-2.955483870967742,71.93645161290321,-1.0470967741935484,-5.475483870967742,10.777096774193547,3.8093548387096776,2001,1,1
2001-02-01,132070.0,39571.0,3.8015035714285714,11.396785714285715,127.95,96.16035714285715,-5.5371428571428565,75.64071428571428,-4.099285714285714,-7.3774999999999995,13.187142857142858,6.511071428571428,2001,2,1
2001-03-01,154953.0,45127.0,2.4722677419354837,9.294193548387097,137.32580645161292,95.7941935483871,-11.765161290322581,73.1183870967742,-9.958387096774192,-13.770645161290322,10.568709677419355,5.070645161290322,2001,3,1
2001-04-01,158364.0,52466.0,0.9882766666666666,9.060666666666666,142.25,95.24733333333333,-18.21966666666667,77.85533333333333,-16.185,-20.670333333333335,10.595333333333334,4.195666666666667,2001,4,2
2001-05-01,170945.0,53685.0,0.13669032258064517,10.509354838709678,138.18064516129033,95.91677419354839,-17.783548387096772,73.02451612903226,-16.182258064516127,-19.648064516129033,11.182580645161291,5.838387096774194,2001,5,2
2001-06-01,172582.0,53264.0,0.00029,9.520333333333333,148.09666666666666,95.81566666666666,-19.546666666666667,72.636,-17.873,-21.271333333333335,9.926666666666668,4.505,2001,6,2
2001-07-01,187104.0,56715.0,0.03743225806451613,10.43483870967742,142.4806451612903,95.8958064516129,-20.107741935483872,73.64741935483872,-18.25258064516129,-21.906129032258065,10.775161290322579,5.814193548387097,2001,7,3
2001-08-01,193678.0,59503.0,0.586516129032258,11.09451612903226,137.61612903225807,95.19129032258064,-23.109354838709677,78.92290322580645,-21.22967741935484,-25.241290322580646,11.98709677419355,5.727096774193548,2001,8,3
2001-09-01,180675.0,54855.0,2.3399300000000003,9.022333333333334,137.76000000000002,95.12166666666667,-21.628666666666668,77.13833333333334,-19.183,-24.325,10.478333333333333,3.9063333333333334,2001,9,3
2001-10-01,168268.0,50538.0,4.945587096774194,10.12483870967742,142.2225806451613,95.01548387096774,-15.829354838709678,68.36967741935484,-12.811290322580644,-18.93903225806452,11.866774193548387,4.785806451612903,2001,10,4
2001-11-01,143897.0,42353.0,7.14586,11.456,126.21333333333334,95.00800000000001,-8.379333333333333,69.16000000000001,-5.745,-11.790666666666665,13.692,6.176333333333333,2001,11,4
